Win/Lose,Game Time,Score,Algorithm,Date
Lose,00:04.4,0,BFS,10.17.2021
Lose,00:50.1,300,BFS,10.17.2021
Win,00:34.4,2500,BFS,10.17.2021
Lose,00:12.1,200,BFS,10.17.2021
Win,00:34.4,2500,BFS,10.17.2021
Lose,00:34.0,100,BFS,10.17.2021
Lose,00:04.4,0,BFS,10.17.2021
Win,00:34.4,2500,BFS,10.17.2021
Lose,00:04.6,300,BFS,10.17.2021
Lose,00:12.1,200,BFS,10.17.2021
Win,00:34.4,2500,BFS,10.17.2021
Lose,01:19.1,1800,BFS,10.17.2021
Lose,00:00:14.7166213,200,BFS,6:54 PM
Win,00:02:38.0511277,2200,BFS,10.19.2021
Lose,00:05:13.2133288,4100,BFS,10.19.2021
Win,00:01:31.1768224,6300,BFS,10.19.2021
Lose,00:03:52.9742176,8400,BFS,10.19.2021
