Win/Lose,Time,Score,Hit Count
0,59.32858,949.6131,1
0,61.75625,961.29517,2
0,64.18392,972.97723,3
0,66.61159,984.6593,4
0,69.03926,996.3414,5
0,71.466934,1008.02344,6
0,73.89461,1019.7055,7
0,76.32227,1031.3876,8
0,78.74994,1043.0697,9
0,81.17761,1054.7517,10
Win/Lose,Time,Score,Hit Count
0,59.32858,961.29517,1
0,61.75625,984.6593,2
0,64.18392,1008.02344,3
0,66.61159,1031.3876,4
0,69.03926,1054.7517,5
0,71.466934,1078.1158,6
0,73.89461,1101.48,7
0,76.32227,1124.8441,8
0,78.74994,1148.2083,9
0,81.17761,1171.5724,10
